,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
904,The place of death of Wiprecht of Groitzsch is,The place of death of the father of Henry of Groitzsch is,Wiprecht of Groitzsch,the father of Henry of Groitzsch,"['Henry of Groitzsch', 'father', 'Wiprecht of Groitzsch']","['Wiprecht of Groitzsch', 'place of death', 'Pegau']",Pegau
905,"The place of birth of William, Prince of Hohenzollern is","The place of birth of the father of Frederick, Prince of Hohenzollern is","William, Prince of Hohenzollern","the father of Frederick, Prince of Hohenzollern","['Frederick, Prince of Hohenzollern', 'father', 'William, Prince of Hohenzollern']","['William, Prince of Hohenzollern', 'place of birth', 'Benrath']",Benrath
906,The place of death of Tim Russert is,The place of death of the presenter of Timothy John Russert is,Tim Russert,the presenter of Timothy John Russert,"['Timothy John Russert', 'presenter', 'Tim Russert']","['Tim Russert', 'place of death', 'Washington']",Washington
907,Tim Tebow received the,The presenter of Million Dollar Mile received the,Tim Tebow,the presenter of Million Dollar Mile,"['Million Dollar Mile', 'presenter', 'Tim Tebow']","['Tim Tebow', 'award received', 'Heisman Trophy']",Heisman Trophy
908,The date of death of Thomas Mercer is,The date of death of the director of UnCivil Liberties is,Thomas Mercer,the director of UnCivil Liberties,"['UnCivil Liberties', 'director', 'Thomas Mercer']","['Thomas Mercer', 'date of death', 'May 25, 1898']","May 25, 1898"
909,The father of Amit Kumar is,The father of the director of Monsoon Shootout is,Amit Kumar,the director of Monsoon Shootout,"['Monsoon Shootout', 'director', 'Amit Kumar']","['Amit Kumar', 'father', 'Kishore Kumar']",Kishore Kumar
910,The place of death of Babur is,The place of death of the father of Hindal Mirza is,Babur,the father of Hindal Mirza,"['Hindal Mirza', 'father', 'Babur']","['Babur', 'place of death', 'Agra']",Agra
911,The country of citizenship of Frederick Henry is,The country of citizenship of the spouse of Amalia of Solms-Braunfels is,Frederick Henry,the spouse of Amalia of Solms-Braunfels,"['Amalia of Solms-Braunfels', 'spouse', 'Frederick Henry']","['Frederick Henry', 'country of citizenship', 'Dutch Republic']",Dutch Republic
912,The place of birth of Jim Wynorski is,The place of birth of the director of Thy Neighbour's Wife is,Jim Wynorski,the director of Thy Neighbour's Wife,"[""Thy Neighbour's Wife"", 'director', 'Jim Wynorski']","['Jim Wynorski', 'place of birth', 'New York']",New York
913,"The date of death of Richard Boyle, 9th Earl of Cork is","The date of death of the father of Robert John Lascelles Boyle, 11th Earl of Cork is","Richard Boyle, 9th Earl of Cork","the father of Robert John Lascelles Boyle, 11th Earl of Cork","['Robert John Lascelles Boyle, 11th Earl of Cork', 'father', 'Richard Boyle, 9th Earl of Cork']","['Richard Boyle, 9th Earl of Cork', 'date of death', '22 June 1904']",22 June 1904
914,The place of birth of Mario Soffici is,The place of birth of the director of Viento norte is,Mario Soffici,the director of Viento norte,"['Viento norte', 'director', 'Mario Soffici']","['Mario Soffici', 'place of birth', 'Florence']",Florence
915,The place of death of Robert Todd Lincoln is,"The place of death of the father of Mary Todd ""Mamie"" Lincoln Isham is",Robert Todd Lincoln,"the father of Mary Todd ""Mamie"" Lincoln Isham","['Mary Todd ""Mamie"" Lincoln Isham', 'father', 'Robert Todd Lincoln']","['Robert Todd Lincoln', 'place of death', 'Manchester']",Manchester
916,The date of death of Simon III de Montfort is,The date of death of the father of Simon de Montfort is,Simon III de Montfort,the father of Simon de Montfort,"['Simon de Montfort', 'father', 'Simon III de Montfort']","['Simon III de Montfort', 'date of death', '13 March 1181']",13 March 1181
917,The employer of Steven Mnuchin is,The employer of the spouse of Louise Linton is,Steven Mnuchin,the spouse of Louise Linton,"['Louise Linton', 'spouse', 'Steven Mnuchin']","['Steven Mnuchin', 'employer', 'Goldman']",Goldman
918,The place of death of Anne of Auvergne is,The place of death of the mother of Jean de Bourbon is,Anne of Auvergne,the mother of Jean de Bourbon,"['Jean de Bourbon', 'mother', 'Anne of Auvergne']","['Anne of Auvergne', 'place of death', 'Moulins']",Moulins
919,The date of death of André Hunebelle is,The date of death of the director of Le Bossu is,André Hunebelle,the director of Le Bossu,"['Le Bossu', 'director', 'André Hunebelle']","['André Hunebelle', 'date of death', '27 November 1985']",27 November 1985
920,The place of death of Hans Christoff von Königsmarck is,The place of death of the father of Beata Elisabet von Königsmarck is,Hans Christoff von Königsmarck,the father of Beata Elisabet von Königsmarck,"['Beata Elisabet von Königsmarck', 'father', 'Hans Christoff von Königsmarck']","['Hans Christoff von Königsmarck', 'place of death', 'Stockholm']",Stockholm
921,The country of citizenship of Prince is,The country of citizenship of the composer of When You Were Mine is,Prince,the composer of When You Were Mine,"['When You Were Mine', 'composer', 'Prince']","['Prince', 'country of citizenship', 'American']",American
922,The place of death of Roberto Rodríguez is,The place of death of the director of Tom Thumb and Little Red Riding Hood is,Roberto Rodríguez,the director of Tom Thumb and Little Red Riding Hood,"['Tom Thumb and Little Red Riding Hood', 'director', 'Roberto Rodríguez']","['Roberto Rodríguez', 'place of death', 'Mexico City']",Mexico City
923,The country of citizenship of Prince Ludwig Philipp of Thurn and Taxis is,The country of citizenship of the spouse of Princess Elisabeth of Luxembourg is,Prince Ludwig Philipp of Thurn and Taxis,the spouse of Princess Elisabeth of Luxembourg,"['Princess Elisabeth of Luxembourg', 'spouse', 'Prince Ludwig Philipp of Thurn and Taxis']","['Prince Ludwig Philipp of Thurn and Taxis', 'country of citizenship', 'German']",German
924,The date of birth of Peter Burrell is,"The date of birth of the father of Frances Julia Percy, Duchess of Northumberland is",Peter Burrell,"the father of Frances Julia Percy, Duchess of Northumberland","['Frances Julia Percy, Duchess of Northumberland', 'father', 'Peter Burrell']","['Peter Burrell', 'date of birth', '27 August 1724']",27 August 1724
925,The place of death of Agaja is,The place of death of the father of Tegbesu is,Agaja,the father of Tegbesu,"['Tegbesu', 'father', 'Agaja']","['Agaja', 'place of death', 'Allada']",Allada
926,The country of citizenship of Demetrius II Nicator is,The country of citizenship of the father of Seleucus V Philometor is,Demetrius II Nicator,the father of Seleucus V Philometor,"['Seleucus V Philometor', 'father', 'Demetrius II Nicator']","['Demetrius II Nicator', 'country of citizenship', 'Seleucid Empire']",Seleucid Empire
927,The date of death of Vsevolod II of Kiev is,The date of death of the spouse of Maria Mstislavna of Kiev is,Vsevolod II of Kiev,the spouse of Maria Mstislavna of Kiev,"['Maria Mstislavna of Kiev', 'spouse', 'Vsevolod II of Kiev']","['Vsevolod II of Kiev', 'date of death', 'August 1, 1146']","August 1, 1146"
928,The country of citizenship of Alexander Nevsky is,The country of citizenship of the father of Andrey of Gorodets is,Alexander Nevsky,the father of Andrey of Gorodets,"['Andrey of Gorodets', 'father', 'Alexander Nevsky']","['Alexander Nevsky', 'country of citizenship', 'Kievan Rus']",Kievan Rus
929,The place of birth of Jim Wynorski is,The place of birth of the director of Deathstalker II is,Jim Wynorski,the director of Deathstalker II,"['Deathstalker II', 'director', 'Jim Wynorski']","['Jim Wynorski', 'place of birth', 'New York']",New York
930,The date of death of Alexander II of Imereti is,The date of death of the father of Prince Vakhtang of Imereti is,Alexander II of Imereti,the father of Prince Vakhtang of Imereti,"['Prince Vakhtang of Imereti', 'father', 'Alexander II of Imereti']","['Alexander II of Imereti', 'date of death', 'April 1, 1510']","April 1, 1510"
931,Benjamin Boothby was educated at,The father of Josiah Boothby was educated at,Benjamin Boothby,the father of Josiah Boothby,"['Josiah Boothby', 'father', 'Benjamin Boothby']","['Benjamin Boothby', 'educated at', ""Gray's Inn""]",Gray's Inn
932,Pratibha Parmar received the,The director of Alice Walker: Beauty in Truth received the,Pratibha Parmar,the director of Alice Walker: Beauty in Truth,"['Alice Walker: Beauty in Truth', 'director', 'Pratibha Parmar']","['Pratibha Parmar', 'award received', '100 Women']",100 Women
933,"The date of birth of Henry Radclyffe, 2nd Earl of Sussex is",The date of birth of the spouse of Anne Calthorpe is,"Henry Radclyffe, 2nd Earl of Sussex",the spouse of Anne Calthorpe,"['Anne Calthorpe', 'spouse', 'Henry Radcliffe']","['Henry Radclyffe, 2nd Earl of Sussex', 'date of birth', '1507']",1507
934,The place of birth of Edward I is,The place of birth of the father of Elizabeth of Rhuddlan is,Edward I,the father of Elizabeth of Rhuddlan,"['Elizabeth of Rhuddlan', 'father', 'Edward I']","['Edward I', 'place of birth', 'Westminster']",Westminster
935,The child of Yannick Noah is,The child of the performer of Saga Africa is,Yannick Noah,the performer of Saga Africa,"['Saga Africa', 'performer', 'Yannick Noah']","['Yannick Noah', 'child', 'Joakim Noah']",Joakim Noah
936,The date of birth of Anna of Veldenz is,The date of birth of the mother of George Frederick of Baden-Durlach is,Anna of Veldenz,the mother of George Frederick of Baden-Durlach,"['George Frederick of Baden-Durlach', 'mother', 'Anna of Veldenz']","['Anna of Veldenz', 'date of birth', '12 November 1540']",12 November 1540
937,The place of death of Gianni Versace is,The place of death of the founded by of Versus is,Gianni Versace,the founded by of Versus,"['Versus', 'founded by', 'Gianni Versace']","['Gianni Versace', 'place of death', 'Miami Beach']",Miami Beach
938,The place of birth of Gu Changwei is,The place of birth of the director of Love on the Cloud is,Gu Changwei,the director of Love on the Cloud,"['Love on the Cloud', 'director', 'Gu Changwei']","['Gu Changwei', 'place of birth', ""Xi'an""]",Xi'an
939,The place of death of Conrad Salinger is,The place of death of the composer of Dream Wife is,Conrad Salinger,the composer of Dream Wife,"['Dream Wife', 'composer', 'Conrad Salinger']","['Conrad Salinger', 'place of death', 'Pacific Palisades']",Pacific Palisades
940,The place of birth of Otakar Vávra is,The place of birth of the director of Days of Betrayal is,Otakar Vávra,the director of Days of Betrayal,"['Days of Betrayal', 'director', 'Otakar Vávra']","['Otakar Vávra', 'place of birth', 'Hradec Králové']",Hradec Králové
941,The date of death of Charles Gustav of Baden-Durlach is,The date of death of the father of Christine Juliane of Baden-Durlach is,Charles Gustav of Baden-Durlach,the father of Christine Juliane of Baden-Durlach,"['Christine Juliane of Baden-Durlach', 'father', 'Charles Gustav of Baden-Durlach']","['Charles Gustav of Baden-Durlach', 'date of death', '24 October 1703']",24 October 1703
942,The place of birth of Luis Mandoki is,The place of birth of the director of Gaby: A True Story is,Luis Mandoki,the director of Gaby: A True Story,"['Gaby: A True Story', 'director', 'Luis Mandoki']","['Luis Mandoki', 'place of birth', 'Mexico City']",Mexico City
943,The place of birth of Herman Frasch is,The place of birth of the founded by of Union Sulphur Company is,Herman Frasch,the founded by of Union Sulphur Company,"['Union Sulphur Company', 'founded by', 'Herman Frasch']","['Herman Frasch', 'place of birth', 'Oberrot']",Oberrot
944,The place of death of John Rawlins is,The place of death of the director of Lucky Ladies is,John Rawlins,the director of Lucky Ladies,"['Lucky Ladies', 'director', 'John Rawlins']","['John Rawlins', 'place of death', 'Arcadia']",Arcadia
945,The country of citizenship of Haile Gerima is,The country of citizenship of the director of Imperfect Journey is,Haile Gerima,the director of Imperfect Journey,"['Imperfect Journey', 'director', 'Haile Gerima']","['Haile Gerima', 'country of citizenship', 'United States']",United States
946,The country of citizenship of Margarethe von Trotta is,The country of citizenship of the director of Love and Fear is,Margarethe von Trotta,the director of Love and Fear,"['Love and Fear', 'director', 'Margarethe von Trotta']","['Margarethe von Trotta', 'country of citizenship', 'German']",German
947,Vithalbhai Jhaveri received the,"The director of Mahatma: Life of Gandhi, 1869–1948 received the",Vithalbhai Jhaveri,"the director of Mahatma: Life of Gandhi, 1869–1948","['Mahatma: Life of Gandhi, 1869–1948', 'director', 'Vithalbhai Jhaveri']","['Vithalbhai Jhaveri', 'award received', 'Padma Bhushan']",Padma Bhushan
948,The employer of Lowell Bergman is,The employer of the spouse of Sharon Tiller is,Lowell Bergman,the spouse of Sharon Tiller,"['Sharon Tiller', 'spouse', 'Lowell Bergman']","['Lowell Bergman', 'employer', 'UC Berkeley']",UC Berkeley
949,The date of death of Charles Emmanuel III is,The date of death of the father of Maria Vittoria Margherita of Savoy is,Charles Emmanuel III,the father of Maria Vittoria Margherita of Savoy,"['Maria Vittoria Margherita of Savoy', 'father', 'Charles Emmanuel III']","['Charles Emmanuel III', 'date of death', '20 February 1773']",20 February 1773
950,The date of death of Oswald Mitchell is,The date of death of the director of Old Mother Riley in Paris is,Oswald Mitchell,the director of Old Mother Riley in Paris,"['Old Mother Riley in Paris', 'director', 'Oswald Mitchell']","['Oswald Mitchell', 'date of death', 'April 27, 1949']","April 27, 1949"
951,Emir Baigazin was educated at,The director of Harmony Lessons was educated at,Emir Baigazin,the director of Harmony Lessons,"['Harmony Lessons', 'director', 'Emir Baigazin']","['Emir Baigazin', 'educated at', 'Kazakh National Academy of Arts']",Kazakh National Academy of Arts
952,The place of death of M. B. Sreenivasan is,The place of death of the composer of Swarnavigraham is,M. B. Sreenivasan,the composer of Swarnavigraham,"['Swarnavigraham', 'composer', 'M. B. Sreenivasan']","['M. B. Sreenivasan', 'place of death', 'Lakshadweep']",Lakshadweep
